         0,     1.127,    15.968,         0,         0,         0,         0,         5
        10,     2.285,    65.634,         0,         0,         0,         0,         5
        20,     2.840,   101.391,         0,         0,         0,         0,         5
        30,     3.252,   132.859,         0,         0,         0,         0,         5
        40,     3.628,   165.388,         0,         0,         0,         0,         5
        50,     3.944,   195.482,         0,         0,         0,         0,         5
        60,     4.248,   226.719,         0,         0,         0,         0,         5
        70,     4.571,   262.537,         0,         0,         0,         0,         5
        80,     4.840,   294.406,         0,         0,         0,         0,         5
        90,     5.138,   331.678,         0,         0,         0,         0,         5
       100,     5.284,   350.867,         0,         0,         0,         0,         5
